id,filename,dataset,type,disease_token
20,001771-median-iternet_uni-drive.png,DRIVE,segmap,normal
21,001771-median-vgan-drive.png,DRIVE,segmap,normal
22,000594-min-vesselunet-drive.png,DRIVE,segmap,normal
23,003597-max-iternet_uni-drive.png,DRIVE,segmap,normal
24,003597-max-saunet-drive.png,DRIVE,segmap,normal
25,001771-median-laddernet-drive.png,DRIVE,segmap,normal
26,003945-max-eswanet-drive.png,DRIVE,segmap,normal
27,001771-median-vesselunet-drive.png,DRIVE,segmap,normal
28,000017-min-vgan-drive.png,DRIVE,segmap,normal
29,000594-min-laddernet-drive.png,DRIVE,segmap,normal
30,003945-max-iternet_uni-drive.png,DRIVE,segmap,normal
31,000021-median-max-vgan-drive.png,DRIVE,segmap,normal
32,003945-max-vgan-drive.png,DRIVE,segmap,normal
33,003945-max-unet-drive.png,DRIVE,segmap,normal
34,000021-median-max-vesselunet-drive.png,DRIVE,segmap,normal
35,003597-max-iternet-drive.png,DRIVE,segmap,normal
36,000594-min-saunet-drive.png,DRIVE,segmap,normal
37,000594-min-vgan-drive.png,DRIVE,segmap,normal
38,000021-median-max-laddernet-drive.png,DRIVE,segmap,normal
39,000021-median-max-eswanet-drive.png,DRIVE,segmap,normal
40,000017-min-iternet-drive.png,DRIVE,segmap,normal
41,000021-median-max-unet-drive.png,DRIVE,segmap,normal
42,003945-max-laddernet-drive.png,DRIVE,segmap,normal
43,001771-median-eswanet-drive.png,DRIVE,segmap,normal
44,003597-max-unet-drive.png,DRIVE,segmap,normal
45,000017-min-saunet-drive.png,DRIVE,segmap,normal
46,001771-median-saunet-drive.png,DRIVE,segmap,normal
47,003945-max-iternet-drive.png,DRIVE,segmap,normal
48,000017-min-vesselunet-drive.png,DRIVE,segmap,normal
49,000594-min-unet-drive.png,DRIVE,segmap,normal
50,000021-median-max-saunet-drive.png,DRIVE,segmap,normal
51,003945-max-vesselunet-drive.png,DRIVE,segmap,normal
52,000594-min-iternet-drive.png,DRIVE,segmap,normal
53,003597-max-laddernet-drive.png,DRIVE,segmap,normal
54,000594-min-iternet_uni-drive.png,DRIVE,segmap,normal
55,001771-median-iternet-drive.png,DRIVE,segmap,normal
56,000594-min-eswanet-drive.png,DRIVE,segmap,normal
57,000017-min-eswanet-drive.png,DRIVE,segmap,normal
58,001771-median-unet-drive.png,DRIVE,segmap,normal
59,003597-max-vesselunet-drive.png,DRIVE,segmap,normal
60,003945-max-saunet-drive.png,DRIVE,segmap,normal
61,000017-min-laddernet-drive.png,DRIVE,segmap,normal
62,003597-max-eswanet-drive.png,DRIVE,segmap,normal
63,003597-max-vgan-drive.png,DRIVE,segmap,normal
64,000017-min-unet-drive.png,DRIVE,segmap,normal
65,000021-median-max-iternet-drive.png,DRIVE,segmap,normal
66,000017-min-iternet_uni-drive.png,DRIVE,segmap,normal
67,000021-median-max-iternet_uni-drive.png,DRIVE,segmap,normal
68,000520-median-unet-stare.png,STARE,segmap,normal
69,000257-min-vgan-stare.png,STARE,segmap,normal
70,000001-median-iternet-stare.png,STARE,segmap,normal
71,000278-median-iternet_uni-stare.png,STARE,segmap,normal
72,001533-min-iternet-stare.png,STARE,segmap,normal
73,000291-min-iternet-stare.png,STARE,segmap,normal
74,000520-median-vesselunet-stare.png,STARE,segmap,normal
75,000278-median-vesselunet-stare.png,STARE,segmap,normal
76,000520-median-laddernet-stare.png,STARE,segmap,normal
77,000257-min-saunet-stare.png,STARE,segmap,normal
78,001533-min-unet-stare.png,STARE,segmap,normal
79,001533-min-eswanet-stare.png,STARE,segmap,normal
80,000001-median-iternet_uni-stare.png,STARE,segmap,normal
81,000278-median-vgan-stare.png,STARE,segmap,normal
82,000520-median-vgan-stare.png,STARE,segmap,normal
83,000001-median-laddernet-stare.png,STARE,segmap,normal
84,000291-min-unet-stare.png,STARE,segmap,normal
85,000278-median-laddernet-stare.png,STARE,segmap,normal
86,001533-min-vgan-stare.png,STARE,segmap,normal
87,000001-median-vesselunet-stare.png,STARE,segmap,normal
88,001533-min-iternet_uni-stare.png,STARE,segmap,normal
89,001533-min-laddernet-stare.png,STARE,segmap,normal
90,000520-median-iternet-stare.png,STARE,segmap,normal
91,000278-median-unet-stare.png,STARE,segmap,normal
92,000291-min-eswanet-stare.png,STARE,segmap,normal
93,000001-median-vgan-stare.png,STARE,segmap,normal
94,000257-min-iternet_uni-stare.png,STARE,segmap,normal
95,000001-median-unet-stare.png,STARE,segmap,normal
96,000291-min-saunet-stare.png,STARE,segmap,normal
97,000278-median-saunet-stare.png,STARE,segmap,normal
98,000257-min-iternet-stare.png,STARE,segmap,normal
99,000520-median-saunet-stare.png,STARE,segmap,normal
100,000257-min-laddernet-stare.png,STARE,segmap,normal
101,000291-min-vesselunet-stare.png,STARE,segmap,normal
102,000291-min-laddernet-stare.png,STARE,segmap,normal
103,000291-min-iternet_uni-stare.png,STARE,segmap,normal
104,000001-median-eswanet-stare.png,STARE,segmap,normal
105,000257-min-unet-stare.png,STARE,segmap,normal
106,000278-median-eswanet-stare.png,STARE,segmap,normal
107,000257-min-eswanet-stare.png,STARE,segmap,normal
108,000001-median-saunet-stare.png,STARE,segmap,normal
109,000520-median-iternet_uni-stare.png,STARE,segmap,normal
110,001533-min-saunet-stare.png,STARE,segmap,normal
111,000291-min-vgan-stare.png,STARE,segmap,normal
112,000520-median-eswanet-stare.png,STARE,segmap,normal
113,001533-min-vesselunet-stare.png,STARE,segmap,normal
114,000257-min-vesselunet-stare.png,STARE,segmap,normal
115,000278-median-iternet-stare.png,STARE,segmap,normal
116,002391-min-eswanet-chase.png,CHASE,segmap,normal
117,001219-median-eswanet-chase.png,CHASE,segmap,normal
118,000000-max-vesselunet-chase.png,CHASE,segmap,normal
119,002391-min-vgan-chase.png,CHASE,segmap,normal
120,000007-max-laddernet-chase.png,CHASE,segmap,normal
121,000005-max-vgan-chase.png,CHASE,segmap,normal
122,000000-max-laddernet-chase.png,CHASE,segmap,normal
123,002391-min-laddernet-chase.png,CHASE,segmap,normal
124,001219-median-vesselunet-chase.png,CHASE,segmap,normal
125,001219-median-iternet-chase.png,CHASE,segmap,normal
126,000005-max-vesselunet-chase.png,CHASE,segmap,normal
127,000007-max-iternet-chase.png,CHASE,segmap,normal
128,001219-median-laddernet-chase.png,CHASE,segmap,normal
129,000007-max-vgan-chase.png,CHASE,segmap,normal
130,002391-min-iternet-chase.png,CHASE,segmap,normal
131,002391-min-saunet-chase.png,CHASE,segmap,normal
132,000005-max-eswanet-chase.png,CHASE,segmap,normal
133,000005-max-saunet-chase.png,CHASE,segmap,normal
134,000000-max-vgan-chase.png,CHASE,segmap,normal
135,001219-median-unet-chase.png,CHASE,segmap,normal
136,000007-max-eswanet-chase.png,CHASE,segmap,normal
137,000005-max-iternet_uni-chase.png,CHASE,segmap,normal
138,001219-median-vgan-chase.png,CHASE,segmap,normal
139,000005-max-unet-chase.png,CHASE,segmap,normal
140,000007-max-iternet_uni-chase.png,CHASE,segmap,normal
141,000007-max-unet-chase.png,CHASE,segmap,normal
142,000007-max-vesselunet-chase.png,CHASE,segmap,normal
143,000007-max-saunet-chase.png,CHASE,segmap,normal
144,002391-min-iternet_uni-chase.png,CHASE,segmap,normal
145,001219-median-iternet_uni-chase.png,CHASE,segmap,normal
146,000005-max-iternet-chase.png,CHASE,segmap,normal
147,000005-max-laddernet-chase.png,CHASE,segmap,normal
148,000000-max-eswanet-chase.png,CHASE,segmap,normal
149,000000-max-unet-chase.png,CHASE,segmap,normal
150,002391-min-vesselunet-chase.png,CHASE,segmap,normal
151,000000-max-saunet-chase.png,CHASE,segmap,normal
152,001219-median-saunet-chase.png,CHASE,segmap,normal
153,000000-max-iternet-chase.png,CHASE,segmap,normal
154,002391-min-unet-chase.png,CHASE,segmap,normal
155,000000-max-iternet_uni-chase.png,CHASE,segmap,normal
