surveyID,questionID,doctorID,network,dataset,imageName,answer,correctAnswer,correct,certainty
6,59,5,iternet,stare,000278-iternet-stare.png,central_retinal_vein_occlusion,background_diabetic_retinopathy,False,3
6,66,5,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,central_retinal_artery_occlusion,False,3
6,2,5,iternet,drive,000000-iternet-drive.png,central_retinal_vein_occlusion,diabetic_retinopathy,False,3
6,38,5,iternet,drive,003522-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,False,3
6,9,5,vgan,drive,000613-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,False,3
6,48,5,vgan,drive,005078-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,False,3
6,82,5,eswanet,stare,001455-eswanet-stare.png,central_retinal_artery_occlusion,arteriosclerotic_retinopathy,False,3
6,69,5,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,central_retinal_artery_occlusion,False,3
6,51,5,vgan,stare,000039-vgan-stare.png,diabetic_retinopathy,cilio_retinal_artery_occlusion,False,3
6,59,5,iternet,stare,000278-iternet-stare.png,central_retinal_vein_occlusion,background_diabetic_retinopathy,False,3
6,66,5,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,central_retinal_artery_occlusion,False,3
6,2,5,iternet,drive,000000-iternet-drive.png,central_retinal_vein_occlusion,diabetic_retinopathy,False,3
6,38,5,iternet,drive,003522-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,False,3
6,9,5,vgan,drive,000613-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,False,3
6,48,5,vgan,drive,005078-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,False,3
6,82,5,eswanet,stare,001455-eswanet-stare.png,central_retinal_artery_occlusion,arteriosclerotic_retinopathy,False,3
6,69,5,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,central_retinal_artery_occlusion,False,3
6,51,5,vgan,stare,000039-vgan-stare.png,diabetic_retinopathy,cilio_retinal_artery_occlusion,False,3
6,59,6,iternet,stare,000278-iternet-stare.png,arteriosclerotic_retinopathy,background_diabetic_retinopathy,False,3
6,66,6,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,central_retinal_artery_occlusion,False,3
6,2,6,iternet,drive,000000-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,False,3
6,38,6,iternet,drive,003522-iternet-drive.png,diabetic_retinopathy,diabetic_retinopathy,True,3
6,9,6,vgan,drive,000613-vgan-drive.png,none,diabetic_retinopathy,False,3
6,48,6,vgan,drive,005078-vgan-drive.png,diabetic_retinopathy,diabetic_retinopathy,True,3
6,82,6,eswanet,stare,001455-eswanet-stare.png,none,arteriosclerotic_retinopathy,False,3
6,69,6,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,central_retinal_artery_occlusion,False,4
6,51,6,vgan,stare,000039-vgan-stare.png,central_retinal_artery_occlusion,cilio_retinal_artery_occlusion,False,4
6,59,5,iternet,stare,000278-iternet-stare.png,central_retinal_vein_occlusion,background_diabetic_retinopathy,False,3
6,66,5,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,central_retinal_artery_occlusion,False,3
6,2,5,iternet,drive,000000-iternet-drive.png,central_retinal_vein_occlusion,diabetic_retinopathy,False,3
6,38,5,iternet,drive,003522-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,False,3
6,9,5,vgan,drive,000613-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,False,3
6,48,5,vgan,drive,005078-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,False,3
6,82,5,eswanet,stare,001455-eswanet-stare.png,central_retinal_artery_occlusion,arteriosclerotic_retinopathy,False,3
6,69,5,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,central_retinal_artery_occlusion,False,3
6,51,5,vgan,stare,000039-vgan-stare.png,diabetic_retinopathy,cilio_retinal_artery_occlusion,False,3
6,59,6,iternet,stare,000278-iternet-stare.png,arteriosclerotic_retinopathy,background_diabetic_retinopathy,False,3
6,66,6,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,central_retinal_artery_occlusion,False,3
6,2,6,iternet,drive,000000-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,False,3
6,38,6,iternet,drive,003522-iternet-drive.png,diabetic_retinopathy,diabetic_retinopathy,True,3
6,9,6,vgan,drive,000613-vgan-drive.png,none,diabetic_retinopathy,False,3
