survey_id,question_id,image_id,dataset,filename,type,disease_token
18,715,131,CHASE,002363-unet-chase.png,segmap,normal
18,715,160,CHASE,002363-iternet-chase.png,segmap,normal
18,715,22,CHASE,002363.png,original,normal
18,716,131,CHASE,002363-unet-chase.png,segmap,normal
18,716,205,CHASE,002363-laddernet-chase.png,segmap,normal
18,716,22,CHASE,002363.png,original,normal
18,717,58,CHASE,002363-eswanet-chase.png,segmap,normal
18,717,112,CHASE,002363-saunet-chase.png,segmap,normal
18,717,22,CHASE,002363.png,original,normal
18,718,118,CHASE,002363-vesselunet-chase.png,segmap,normal
18,718,160,CHASE,002363-iternet-chase.png,segmap,normal
18,718,22,CHASE,002363.png,original,normal
18,719,112,CHASE,002363-saunet-chase.png,segmap,normal
18,719,160,CHASE,002363-iternet-chase.png,segmap,normal
18,719,22,CHASE,002363.png,original,normal
18,720,118,CHASE,002363-vesselunet-chase.png,segmap,normal
18,720,187,CHASE,002363-vgan-chase.png,segmap,normal
18,720,22,CHASE,002363.png,original,normal
18,721,58,CHASE,002363-eswanet-chase.png,segmap,normal
18,721,118,CHASE,002363-vesselunet-chase.png,segmap,normal
18,721,22,CHASE,002363.png,original,normal
18,722,99,CHASE,002363-iternet_uni-chase.png,segmap,normal
18,722,118,CHASE,002363-vesselunet-chase.png,segmap,normal
18,722,22,CHASE,002363.png,original,normal
18,723,99,CHASE,002363-iternet_uni-chase.png,segmap,normal
18,723,112,CHASE,002363-saunet-chase.png,segmap,normal
18,723,22,CHASE,002363.png,original,normal
18,724,99,CHASE,002363-iternet_uni-chase.png,segmap,normal
18,724,131,CHASE,002363-unet-chase.png,segmap,normal
18,724,22,CHASE,002363.png,original,normal
18,725,112,CHASE,002363-saunet-chase.png,segmap,normal
18,725,160,CHASE,002363-iternet-chase.png,segmap,normal
18,725,22,CHASE,002363.png,original,normal
18,726,58,CHASE,002363-eswanet-chase.png,segmap,normal
18,726,112,CHASE,002363-saunet-chase.png,segmap,normal
18,726,22,CHASE,002363.png,original,normal
18,727,187,CHASE,002363-vgan-chase.png,segmap,normal
18,727,205,CHASE,002363-laddernet-chase.png,segmap,normal
18,727,22,CHASE,002363.png,original,normal
18,728,112,CHASE,002363-saunet-chase.png,segmap,normal
18,728,205,CHASE,002363-laddernet-chase.png,segmap,normal
18,728,22,CHASE,002363.png,original,normal
18,729,131,CHASE,002363-unet-chase.png,segmap,normal
18,729,160,CHASE,002363-iternet-chase.png,segmap,normal
18,729,22,CHASE,002363.png,original,normal
18,730,58,CHASE,002363-eswanet-chase.png,segmap,normal
18,730,160,CHASE,002363-iternet-chase.png,segmap,normal
18,730,22,CHASE,002363.png,original,normal
18,731,131,CHASE,002363-unet-chase.png,segmap,normal
18,731,187,CHASE,002363-vgan-chase.png,segmap,normal
18,731,22,CHASE,002363.png,original,normal
18,732,118,CHASE,002363-vesselunet-chase.png,segmap,normal
18,732,131,CHASE,002363-unet-chase.png,segmap,normal
18,732,22,CHASE,002363.png,original,normal
18,733,118,CHASE,002363-vesselunet-chase.png,segmap,normal
18,733,131,CHASE,002363-unet-chase.png,segmap,normal
18,733,22,CHASE,002363.png,original,normal
18,734,58,CHASE,002363-eswanet-chase.png,segmap,normal
18,734,131,CHASE,002363-unet-chase.png,segmap,normal
18,734,22,CHASE,002363.png,original,normal
18,735,187,CHASE,002363-vgan-chase.png,segmap,normal
18,735,205,CHASE,002363-laddernet-chase.png,segmap,normal
18,735,22,CHASE,002363.png,original,normal
18,736,131,CHASE,002363-unet-chase.png,segmap,normal
18,736,187,CHASE,002363-vgan-chase.png,segmap,normal
18,736,22,CHASE,002363.png,original,normal
18,737,112,CHASE,002363-saunet-chase.png,segmap,normal
18,737,205,CHASE,002363-laddernet-chase.png,segmap,normal
18,737,22,CHASE,002363.png,original,normal
18,738,58,CHASE,002363-eswanet-chase.png,segmap,normal
18,738,131,CHASE,002363-unet-chase.png,segmap,normal
18,738,22,CHASE,002363.png,original,normal
18,739,112,CHASE,002363-saunet-chase.png,segmap,normal
18,739,131,CHASE,002363-unet-chase.png,segmap,normal
18,739,22,CHASE,002363.png,original,normal
18,740,160,CHASE,002363-iternet-chase.png,segmap,normal
18,740,205,CHASE,002363-laddernet-chase.png,segmap,normal
18,740,22,CHASE,002363.png,original,normal
18,741,99,CHASE,002363-iternet_uni-chase.png,segmap,normal
18,741,187,CHASE,002363-vgan-chase.png,segmap,normal
18,741,22,CHASE,002363.png,original,normal
18,742,99,CHASE,002363-iternet_uni-chase.png,segmap,normal
18,742,205,CHASE,002363-laddernet-chase.png,segmap,normal
18,742,22,CHASE,002363.png,original,normal
18,743,58,CHASE,002363-eswanet-chase.png,segmap,normal
18,743,187,CHASE,002363-vgan-chase.png,segmap,normal
18,743,22,CHASE,002363.png,original,normal
18,744,99,CHASE,002363-iternet_uni-chase.png,segmap,normal
18,744,160,CHASE,002363-iternet-chase.png,segmap,normal
18,744,22,CHASE,002363.png,original,normal
18,745,58,CHASE,002363-eswanet-chase.png,segmap,normal
18,745,99,CHASE,002363-iternet_uni-chase.png,segmap,normal
18,745,22,CHASE,002363.png,original,normal
18,746,118,CHASE,002363-vesselunet-chase.png,segmap,normal
18,746,160,CHASE,002363-iternet-chase.png,segmap,normal
18,746,22,CHASE,002363.png,original,normal
18,747,160,CHASE,002363-iternet-chase.png,segmap,normal
18,747,205,CHASE,002363-laddernet-chase.png,segmap,normal
18,747,22,CHASE,002363.png,original,normal
18,748,160,CHASE,002363-iternet-chase.png,segmap,normal
18,748,187,CHASE,002363-vgan-chase.png,segmap,normal
18,748,22,CHASE,002363.png,original,normal
18,749,112,CHASE,002363-saunet-chase.png,segmap,normal
18,749,118,CHASE,002363-vesselunet-chase.png,segmap,normal
18,749,22,CHASE,002363.png,original,normal
18,750,118,CHASE,002363-vesselunet-chase.png,segmap,normal
18,750,205,CHASE,002363-laddernet-chase.png,segmap,normal
18,750,22,CHASE,002363.png,original,normal
18,751,112,CHASE,002363-saunet-chase.png,segmap,normal
18,751,187,CHASE,002363-vgan-chase.png,segmap,normal
18,751,22,CHASE,002363.png,original,normal
18,752,99,CHASE,002363-iternet_uni-chase.png,segmap,normal
18,752,131,CHASE,002363-unet-chase.png,segmap,normal
18,752,22,CHASE,002363.png,original,normal
18,753,112,CHASE,002363-saunet-chase.png,segmap,normal
18,753,187,CHASE,002363-vgan-chase.png,segmap,normal
18,753,22,CHASE,002363.png,original,normal
18,754,58,CHASE,002363-eswanet-chase.png,segmap,normal
18,754,205,CHASE,002363-laddernet-chase.png,segmap,normal
18,754,22,CHASE,002363.png,original,normal
18,755,112,CHASE,002363-saunet-chase.png,segmap,normal
18,755,131,CHASE,002363-unet-chase.png,segmap,normal
18,755,22,CHASE,002363.png,original,normal
18,756,160,CHASE,002363-iternet-chase.png,segmap,normal
18,756,187,CHASE,002363-vgan-chase.png,segmap,normal
18,756,22,CHASE,002363.png,original,normal
19,757,51,CHASE,001691-iternet-chase.png,segmap,normal
19,757,181,CHASE,001691-eswanet-chase.png,segmap,normal
19,757,4,CHASE,001691.png,original,normal
19,758,51,CHASE,001691-iternet-chase.png,segmap,normal
19,758,181,CHASE,001691-eswanet-chase.png,segmap,normal
19,758,4,CHASE,001691.png,original,normal
19,759,191,CHASE,001691-vesselunet-chase.png,segmap,normal
19,759,209,CHASE,001691-laddernet-chase.png,segmap,normal
19,759,4,CHASE,001691.png,original,normal
19,760,129,CHASE,001691-unet-chase.png,segmap,normal
19,760,209,CHASE,001691-laddernet-chase.png,segmap,normal
19,760,4,CHASE,001691.png,original,normal
19,761,181,CHASE,001691-eswanet-chase.png,segmap,normal
19,761,191,CHASE,001691-vesselunet-chase.png,segmap,normal
19,761,4,CHASE,001691.png,original,normal
19,762,172,CHASE,001691-saunet-chase.png,segmap,normal
19,762,181,CHASE,001691-eswanet-chase.png,segmap,normal
19,762,4,CHASE,001691.png,original,normal
19,763,174,CHASE,001691-iternet_uni-chase.png,segmap,normal
19,763,206,CHASE,001691-vgan-chase.png,segmap,normal
19,763,4,CHASE,001691.png,original,normal
19,764,181,CHASE,001691-eswanet-chase.png,segmap,normal
19,764,206,CHASE,001691-vgan-chase.png,segmap,normal
19,764,4,CHASE,001691.png,original,normal
19,765,206,CHASE,001691-vgan-chase.png,segmap,normal
19,765,209,CHASE,001691-laddernet-chase.png,segmap,normal
19,765,4,CHASE,001691.png,original,normal
19,766,174,CHASE,001691-iternet_uni-chase.png,segmap,normal
19,766,209,CHASE,001691-laddernet-chase.png,segmap,normal
19,766,4,CHASE,001691.png,original,normal
19,767,174,CHASE,001691-iternet_uni-chase.png,segmap,normal
19,767,209,CHASE,001691-laddernet-chase.png,segmap,normal
19,767,4,CHASE,001691.png,original,normal
19,768,206,CHASE,001691-vgan-chase.png,segmap,normal
19,768,209,CHASE,001691-laddernet-chase.png,segmap,normal
19,768,4,CHASE,001691.png,original,normal
19,769,51,CHASE,001691-iternet-chase.png,segmap,normal
19,769,209,CHASE,001691-laddernet-chase.png,segmap,normal
19,769,4,CHASE,001691.png,original,normal
19,770,172,CHASE,001691-saunet-chase.png,segmap,normal
19,770,206,CHASE,001691-vgan-chase.png,segmap,normal
19,770,4,CHASE,001691.png,original,normal
19,771,181,CHASE,001691-eswanet-chase.png,segmap,normal
19,771,191,CHASE,001691-vesselunet-chase.png,segmap,normal
19,771,4,CHASE,001691.png,original,normal
19,772,129,CHASE,001691-unet-chase.png,segmap,normal
19,772,181,CHASE,001691-eswanet-chase.png,segmap,normal
19,772,4,CHASE,001691.png,original,normal
19,773,181,CHASE,001691-eswanet-chase.png,segmap,normal
19,773,209,CHASE,001691-laddernet-chase.png,segmap,normal
19,773,4,CHASE,001691.png,original,normal
19,774,129,CHASE,001691-unet-chase.png,segmap,normal
19,774,206,CHASE,001691-vgan-chase.png,segmap,normal
19,774,4,CHASE,001691.png,original,normal
19,775,51,CHASE,001691-iternet-chase.png,segmap,normal
19,775,172,CHASE,001691-saunet-chase.png,segmap,normal
19,775,4,CHASE,001691.png,original,normal
19,776,174,CHASE,001691-iternet_uni-chase.png,segmap,normal
19,776,181,CHASE,001691-eswanet-chase.png,segmap,normal
19,776,4,CHASE,001691.png,original,normal
19,777,172,CHASE,001691-saunet-chase.png,segmap,normal
19,777,209,CHASE,001691-laddernet-chase.png,segmap,normal
19,777,4,CHASE,001691.png,original,normal
19,778,129,CHASE,001691-unet-chase.png,segmap,normal
19,778,191,CHASE,001691-vesselunet-chase.png,segmap,normal
19,778,4,CHASE,001691.png,original,normal
19,779,181,CHASE,001691-eswanet-chase.png,segmap,normal
