id,filename,dataset,type,disease_token
1,003131.png,CHASE,original,normal
2,000001.png,CHASE,original,normal
3,000007.png,CHASE,original,normal
4,001691.png,CHASE,original,normal
5,000762.png,CHASE,original,normal
6,002381.png,CHASE,original,normal
7,000003.png,CHASE,original,normal
8,001202.png,CHASE,original,normal
9,000002.png,CHASE,original,normal
10,002401.png,CHASE,original,normal
11,002361.png,CHASE,original,normal
12,000000.png,CHASE,original,normal
13,001187.png,CHASE,original,normal
14,001197.png,CHASE,original,normal
15,003569.png,CHASE,original,normal
16,002379.png,CHASE,original,normal
17,001189.png,CHASE,original,normal
18,001185.png,CHASE,original,normal
19,002391.png,CHASE,original,normal
20,000006.png,CHASE,original,normal
21,001094.png,CHASE,original,normal
22,002363.png,CHASE,original,normal
23,003552.png,CHASE,original,normal
24,000004.png,CHASE,original,normal
25,002405.png,CHASE,original,normal
226,001078.png,STARE,original,background_diabetic_retinopathy
227,001041.png,STARE,original,central_retinal_artery_occlusion
227,001041.png,STARE,original,central_retinal_vein_occlusion
228,002200.png,STARE,original,vasculitis
229,000039.png,STARE,original,central_retinal_artery_occlusion
229,000039.png,STARE,original,cilio_retinal_artery_occlusion
230,002195.png,STARE,original,emboli
230,002195.png,STARE,original,non_hollenhorst
231,001146.png,STARE,original,retinitis
232,001455.png,STARE,original,arteriosclerotic_retinopathy
232,001455.png,STARE,original,choroidal_neovascularization
233,000254.png,STARE,original,normal
234,001533.png,STARE,original,normal
235,000257.png,STARE,original,normal
236,002204.png,STARE,original,normal
237,000000.png,STARE,original,normal
238,000013.png,STARE,original,normal
239,002764.png,DRIVE,original,background_diabetic_retinopathy
240,002670.png,DRIVE,original,background_diabetic_retinopathy
241,000613.png,DRIVE,original,background_diabetic_retinopathy
242,000000.png,DRIVE,original,background_diabetic_retinopathy
243,003522.png,DRIVE,original,background_diabetic_retinopathy
244,001614.png,DRIVE,original,background_diabetic_retinopathy
245,005078.png,DRIVE,original,background_diabetic_retinopathy
246,001304.png,DRIVE,original,normal
247,004036.png,DRIVE,original,normal
248,001210.png,DRIVE,original,normal
249,004111.png,DRIVE,original,normal
250,004264.png,DRIVE,original,normal
251,000001.png,DRIVE,original,normal
252,002680.png,DRIVE,original,normal
253,003597.png,DRIVE,original,normal
254,003654.png,DRIVE,original,normal
255,002354.png,DRIVE,original,normal
256,001194.png,DRIVE,original,normal
257,004776.png,DRIVE,original,normal
258,005077.png,DRIVE,original,normal
259,005050.png,DRIVE,original,normal
260,003553.png,DRIVE,original,normal
261,000348.png,DRIVE,original,normal
262,003945.png,DRIVE,original,normal
263,003537.png,DRIVE,original,normal
264,002367.png,DRIVE,original,normal
265,005118.png,DRIVE,original,normal
266,002409.png,DRIVE,original,normal
267,000819.png,DRIVE,original,normal
268,003944.png,DRIVE,original,normal
269,000633.png,DRIVE,original,normal
270,001549.png,DRIVE,original,normal
271,002745.png,DRIVE,original,normal
