,surveyID,surveyType,questionID,doctorID,network,dataset,imageName,answer,correctAnswers,correct,certainty,grading_score
0,6,regular,59,5,iternet,stare,000278-iternet-stare.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3,-60
1,6,regular,66,5,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",-1,3,-60
2,6,regular,2,5,iternet,drive,000000-iternet-drive.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3,-60
3,6,regular,38,5,iternet,drive,003522-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3,-60
4,6,regular,9,5,vgan,drive,000613-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3,-60
5,6,regular,48,5,vgan,drive,005078-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3,-60
6,6,regular,82,5,eswanet,stare,001455-eswanet-stare.png,central_retinal_artery_occlusion,arteriosclerotic_retinopathy,-1,3,-60
7,6,regular,69,5,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",1,3,60
8,6,regular,51,5,vgan,stare,000039-vgan-stare.png,diabetic_retinopathy,"cilio_retinal_artery_occlusion,central_retinal_artery_occlusion",-1,3,-60
9,6,regular,59,5,iternet,stare,000278-iternet-stare.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3,-60
10,6,regular,66,5,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",-1,3,-60
11,6,regular,2,5,iternet,drive,000000-iternet-drive.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3,-60
12,6,regular,38,5,iternet,drive,003522-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3,-60
13,6,regular,9,5,vgan,drive,000613-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3,-60
14,6,regular,48,5,vgan,drive,005078-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3,-60
15,6,regular,82,5,eswanet,stare,001455-eswanet-stare.png,central_retinal_artery_occlusion,arteriosclerotic_retinopathy,-1,3,-60
16,6,regular,69,5,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",1,3,60
17,6,regular,51,5,vgan,stare,000039-vgan-stare.png,diabetic_retinopathy,"cilio_retinal_artery_occlusion,central_retinal_artery_occlusion",-1,3,-60
18,6,regular,59,6,iternet,stare,000278-iternet-stare.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3,-60
19,6,regular,66,6,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",-1,3,-60
20,6,regular,2,6,iternet,drive,000000-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3,-60
21,6,regular,38,6,iternet,drive,003522-iternet-drive.png,diabetic_retinopathy,diabetic_retinopathy,1,3,60
22,6,regular,9,6,vgan,drive,000613-vgan-drive.png,none,diabetic_retinopathy,-1,3,-60
23,6,regular,48,6,vgan,drive,005078-vgan-drive.png,diabetic_retinopathy,diabetic_retinopathy,1,3,60
24,6,regular,82,6,eswanet,stare,001455-eswanet-stare.png,none,arteriosclerotic_retinopathy,-1,3,-60
25,6,regular,69,6,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",1,4,80
26,6,regular,51,6,vgan,stare,000039-vgan-stare.png,central_retinal_artery_occlusion,"cilio_retinal_artery_occlusion,central_retinal_artery_occlusion",1,4,80
27,6,regular,59,5,iternet,stare,000278-iternet-stare.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3,-60
28,6,regular,66,5,iternet,stare,001041-iternet-stare.png,diabetic_retinopathy,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",-1,3,-60
29,6,regular,2,5,iternet,drive,000000-iternet-drive.png,central_retinal_vein_occlusion,diabetic_retinopathy,-1,3,-60
30,6,regular,38,5,iternet,drive,003522-iternet-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3,-60
31,6,regular,9,5,vgan,drive,000613-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3,-60
32,6,regular,48,5,vgan,drive,005078-vgan-drive.png,arteriosclerotic_retinopathy,diabetic_retinopathy,-1,3,-60
33,6,regular,82,5,eswanet,stare,001455-eswanet-stare.png,central_retinal_artery_occlusion,arteriosclerotic_retinopathy,-1,3,-60
34,6,regular,69,5,iternet_uni,stare,001041-iternet_uni-stare.png,central_retinal_vein_occlusion,"central_retinal_artery_occlusion,central_retinal_vein_occlusion",1,3,60
